state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/0-DQN/model.py:19: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
3050 episode | score: 21.44 | epsilon: 0.66
3060 episode | score: 21.20 | epsilon: 0.66
3070 episode | score: 21.42 | epsilon: 0.66
3080 episode | score: 21.40 | epsilon: 0.66
3090 episode | score: 21.25 | epsilon: 0.66
3100 episode | score: 20.72 | epsilon: 0.66
3110 episode | score: 20.23 | epsilon: 0.66
3120 episode | score: 20.07 | epsilon: 0.66
3130 episode | score: 20.06 | epsilon: 0.66
3140 episode | score: 19.90 | epsilon: 0.65
3150 episode | score: 20.13 | epsilon: 0.65
3160 episode | score: 19.61 | epsilon: 0.65
3170 episode | score: 19.58 | epsilon: 0.65
3180 episode | score: 19.57 | epsilon: 0.65
3190 episode | score: 19.80 | epsilon: 0.65
3200 episode | score: 20.73 | epsilon: 0.65
3210 episode | score: 20.72 | epsilon: 0.65
3220 episode | score: 21.15 | epsilon: 0.65
3230 episode | score: 21.07 | epsilon: 0.64
3240 episode | score: 21.03 | epsilon: 0.64
3250 episode | score: 20.64 | epsilon: 0.64
3260 episode | score: 20.44 | epsilon: 0.64
3270 episode | score: 20.31 | epsilon: 0.64
3280 episode | score: 20.12 | epsilon: 0.64
3290 episode | score: 19.71 | epsilon: 0.64
3300 episode | score: 19.28 | epsilon: 0.64
3310 episode | score: 20.38 | epsilon: 0.64
3320 episode | score: 21.47 | epsilon: 0.64
3330 episode | score: 21.21 | epsilon: 0.63
3340 episode | score: 20.92 | epsilon: 0.63
3350 episode | score: 20.49 | epsilon: 0.63
3360 episode | score: 20.03 | epsilon: 0.63
3370 episode | score: 19.83 | epsilon: 0.63
3380 episode | score: 19.58 | epsilon: 0.63
3390 episode | score: 19.28 | epsilon: 0.63
3400 episode | score: 19.35 | epsilon: 0.63
3410 episode | score: 19.38 | epsilon: 0.63
3420 episode | score: 18.91 | epsilon: 0.63
3430 episode | score: 18.57 | epsilon: 0.62
3440 episode | score: 18.60 | epsilon: 0.62
3450 episode | score: 19.16 | epsilon: 0.62
3460 episode | score: 19.23 | epsilon: 0.62
3470 episode | score: 18.96 | epsilon: 0.62
3480 episode | score: 18.83 | epsilon: 0.62
3490 episode | score: 18.33 | epsilon: 0.62
3500 episode | score: 18.19 | epsilon: 0.62
3510 episode | score: 19.52 | epsilon: 0.62
3520 episode | score: 19.93 | epsilon: 0.62
3530 episode | score: 20.08 | epsilon: 0.61
3540 episode | score: 20.08 | epsilon: 0.61
3550 episode | score: 20.19 | epsilon: 0.61
3560 episode | score: 20.59 | epsilon: 0.61
3570 episode | score: 20.28 | epsilon: 0.61
3580 episode | score: 19.89 | epsilon: 0.61
3590 episode | score: 19.43 | epsilon: 0.61
3600 episode | score: 19.38 | epsilon: 0.61
3610 episode | score: 18.96 | epsilon: 0.61
3620 episode | score: 18.73 | epsilon: 0.61
3630 episode | score: 18.45 | epsilon: 0.60
3640 episode | score: 18.61 | epsilon: 0.60
3650 episode | score: 19.00 | epsilon: 0.60
