state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
2070 episode | score: 12.54 | epsilon: 0.10
2080 episode | score: 12.49 | epsilon: 0.10
2090 episode | score: 12.44 | epsilon: 0.10
2100 episode | score: 12.51 | epsilon: 0.10
2110 episode | score: 12.41 | epsilon: 0.10
2120 episode | score: 12.33 | epsilon: 0.10
2130 episode | score: 12.28 | epsilon: 0.10
2140 episode | score: 12.28 | epsilon: 0.10
2150 episode | score: 12.24 | epsilon: 0.10
2160 episode | score: 12.30 | epsilon: 0.10
2170 episode | score: 12.30 | epsilon: 0.10
2180 episode | score: 12.48 | epsilon: 0.10
2190 episode | score: 12.72 | epsilon: 0.10
2200 episode | score: 13.05 | epsilon: 0.10
2210 episode | score: 13.20 | epsilon: 0.10
2220 episode | score: 13.76 | epsilon: 0.10
2230 episode | score: 14.35 | epsilon: 0.10
2240 episode | score: 14.35 | epsilon: 0.10
2250 episode | score: 14.17 | epsilon: 0.10
2260 episode | score: 14.21 | epsilon: 0.10
2270 episode | score: 14.59 | epsilon: 0.10
2280 episode | score: 15.15 | epsilon: 0.10
2290 episode | score: 15.76 | epsilon: 0.10
2300 episode | score: 16.35 | epsilon: 0.10
2310 episode | score: 17.06 | epsilon: 0.10
2320 episode | score: 17.50 | epsilon: 0.10
2330 episode | score: 18.51 | epsilon: 0.10
2340 episode | score: 20.06 | epsilon: 0.10
2350 episode | score: 21.85 | epsilon: 0.10
2360 episode | score: 22.46 | epsilon: 0.10
2370 episode | score: 23.05 | epsilon: 0.10
2380 episode | score: 23.14 | epsilon: 0.10
2390 episode | score: 23.89 | epsilon: 0.10
2400 episode | score: 25.24 | epsilon: 0.10
2410 episode | score: 26.98 | epsilon: 0.10
2420 episode | score: 29.64 | epsilon: 0.10
2430 episode | score: 29.59 | epsilon: 0.10
2440 episode | score: 28.94 | epsilon: 0.10
2450 episode | score: 29.97 | epsilon: 0.10
2460 episode | score: 28.88 | epsilon: 0.10
2470 episode | score: 28.00 | epsilon: 0.10
2480 episode | score: 27.55 | epsilon: 0.10
2490 episode | score: 26.46 | epsilon: 0.10
2500 episode | score: 25.23 | epsilon: 0.10
2510 episode | score: 24.15 | epsilon: 0.10
2520 episode | score: 23.11 | epsilon: 0.10
2530 episode | score: 22.59 | epsilon: 0.10
2540 episode | score: 21.93 | epsilon: 0.10
